Timp_Scurs_Secunde,Temperatura_C,Status_Sistem,Actiune_Background
0,46.2,OK,Foto: OK | GPS: Conectat
8,53.7,OK,-
10,53.7,OK,Foto: OK | GPS: Conectat
15,54.8,OK,-
17,55.3,OK,-
19,55.8,OK,-
21,56.9,OK,Foto: OK | GPS: Conectat
26,58.0,OK,-
28,57.5,OK,-
30,57.5,OK,-
32,57.5,OK,Foto: OK | GPS: Conectat
37,58.5,OK,-
39,59.1,OK,-
41,59.1,OK,-
43,59.1,OK,Foto: OK | GPS: Conectat
48,60.1,OK,-
50,60.1,OK,-
52,60.7,OK,-
54,61.2,OK,Foto: OK | GPS: Conectat
59,61.2,OK,-
61,62.3,OK,-
63,61.2,OK,-
65,62.3,OK,Foto: OK | GPS: Conectat
71,62.8,OK,-
73,62.8,OK,-
75,62.3,OK,-
77,62.8,OK,Foto: OK | GPS: Conectat
82,63.4,OK,-
84,64.5,OK,-
86,64.5,OK,-
88,63.9,OK,Foto: OK | GPS: Conectat
93,64.5,OK,-
95,64.5,OK,-
97,65.0,OK,-
99,65.0,OK,Foto: OK | GPS: Conectat
104,65.5,OK,-
106,65.5,OK,-
108,65.5,OK,-
110,65.5,OK,Foto: OK | GPS: Conectat
116,66.6,OK,-
118,66.6,OK,-
120,66.6,OK,-
122,66.6,OK,Foto: OK | GPS: Conectat
126,67.7,OK,-
128,67.1,OK,-
130,67.1,OK,-
132,66.6,OK,Foto: OK | GPS: Conectat
138,67.7,OK,-
140,67.1,OK,-
142,67.7,OK,-
144,67.1,OK,Foto: OK | GPS: Conectat
149,67.7,OK,-
151,67.7,OK,-
153,67.7,OK,-
155,67.7,OK,Foto: OK | GPS: Conectat
160,67.7,OK,-
162,68.2,OK,-
164,68.8,OK,-
166,68.2,OK,Foto: OK | GPS: Conectat
171,68.8,OK,-
173,68.8,OK,-
175,68.8,OK,-
177,69.3,OK,Foto: OK | GPS: Cautare...
181,69.8,OK,-
183,69.3,OK,-
185,68.8,OK,-
187,69.8,OK,Foto: OK | GPS: Conectat
193,70.4,OK,-
195,70.4,OK,-
197,69.8,OK,-
199,70.4,OK,Foto: OK | GPS: Conectat
204,69.8,OK,-
206,70.4,OK,-
208,70.9,OK,-
210,70.4,OK,Foto: OK | GPS: Conectat
215,70.9,OK,-
217,70.9,OK,-
219,70.4,OK,-
221,70.4,OK,Foto: OK | GPS: Conectat
226,70.4,OK,-
228,70.9,OK,-
230,70.9,OK,-
232,70.9,OK,Foto: OK | GPS: Conectat
237,70.9,OK,-
239,70.9,OK,-
241,71.4,OK,-
243,71.4,OK,Foto: OK | GPS: Conectat
248,72.0,OK,-
250,71.4,OK,-
252,70.9,OK,-
254,72.0,OK,Foto: OK | GPS: Conectat
259,72.5,OK,-
261,72.0,OK,-
263,72.0,OK,-
265,72.5,OK,Foto: OK | GPS: Conectat
