Timp_Scurs_s,Timestamp_UTC,Temperatura_C,Throttled_Hex,CPU_Procent,RAM_Procent
0,2026-06-10 13:14:07,41.9,0x0,0.0,39.0
10,2026-06-10 13:14:17,42.4,0x0,4.9,42.8
20,2026-06-10 13:14:27,42.9,0x0,5.1,42.5
30,2026-06-10 13:14:37,42.9,0x0,5.0,44.0
40,2026-06-10 13:14:47,43.5,0x0,7.5,44.2
50,2026-06-10 13:14:57,43.5,0x0,7.5,43.6
60,2026-06-10 13:15:07,44.0,0x0,5.0,42.9
70,2026-06-10 13:15:17,44.0,0x0,2.6,43.8
80,2026-06-10 13:15:27,44.0,0x0,7.3,43.9
90,2026-06-10 13:15:38,45.1,0x0,5.0,43.9
101,2026-06-10 13:15:48,45.1,0x0,0.0,44.2
111,2026-06-10 13:15:58,45.1,0x0,10.0,42.9
121,2026-06-10 13:16:08,45.1,0x0,2.6,45.1
131,2026-06-10 13:16:18,45.6,0x0,5.0,45.2
141,2026-06-10 13:16:28,45.6,0x0,2.5,45.1
151,2026-06-10 13:16:38,46.2,0x0,17.5,42.6
161,2026-06-10 13:16:48,46.2,0x0,17.9,43.6
171,2026-06-10 13:16:58,46.2,0x0,23.1,42.2
181,2026-06-10 13:17:08,47.2,0x0,22.5,44.3
192,2026-06-10 13:17:19,47.2,0x0,23.1,42.9
202,2026-06-10 13:17:29,47.8,0x0,5.0,42.4
212,2026-06-10 13:17:39,47.8,0x0,7.3,42.6
222,2026-06-10 13:17:49,47.2,0x0,32.5,41.4
232,2026-06-10 13:17:59,47.2,0x0,25.6,42.2
242,2026-06-10 13:18:09,47.2,0x0,25.0,41.9
252,2026-06-10 13:18:19,47.8,0x0,0.0,40.5
262,2026-06-10 13:18:29,47.8,0x0,10.0,43.4
272,2026-06-10 13:18:40,47.8,0x0,5.0,43.1
283,2026-06-10 13:18:50,48.3,0x0,23.7,44.0
293,2026-06-10 13:19:00,47.2,0x0,17.9,39.8
303,2026-06-10 13:19:10,47.2,0x0,26.8,44.1
313,2026-06-10 13:19:20,47.8,0x0,7.7,40.1
323,2026-06-10 13:19:30,47.8,0x0,26.8,44.5
333,2026-06-10 13:19:40,48.3,0x0,9.3,43.7
343,2026-06-10 13:19:50,48.3,0x0,0.0,43.6
353,2026-06-10 13:20:00,48.3,0x0,0.0,45.7
363,2026-06-10 13:20:10,48.3,0x0,0.0,43.1
374,2026-06-10 13:20:21,48.9,0x0,2.5,44.9
384,2026-06-10 13:20:31,48.9,0x0,0.0,44.6
394,2026-06-10 13:20:41,49.4,0x0,17.5,44.2
404,2026-06-10 13:20:51,49.4,0x0,25.6,42.1
414,2026-06-10 13:21:01,48.9,0x0,23.1,42.6
424,2026-06-10 13:21:11,49.4,0x0,25.6,41.1
434,2026-06-10 13:21:21,49.4,0x0,17.9,44.3
444,2026-06-10 13:21:31,49.9,0x0,26.8,41.5
454,2026-06-10 13:21:41,49.4,0x0,9.8,44.1
465,2026-06-10 13:21:52,49.9,0x0,5.3,44.5
475,2026-06-10 13:22:02,49.4,0x0,15.8,44.1
485,2026-06-10 13:22:12,49.4,0x0,2.5,43.7
495,2026-06-10 13:22:22,49.9,0x0,2.5,44.2
505,2026-06-10 13:22:32,49.4,0x0,24.4,41.1
515,2026-06-10 13:22:42,50.5,0x0,26.8,43.6
525,2026-06-10 13:22:52,50.5,0x0,15.4,44.6
535,2026-06-10 13:23:02,49.4,0x0,26.8,42.3
545,2026-06-10 13:23:12,49.4,0x0,12.5,39.3
556,2026-06-10 13:23:23,49.4,0x0,25.0,43.7
566,2026-06-10 13:23:33,49.9,0x0,2.5,44.1
576,2026-06-10 13:23:43,49.4,0x0,12.5,43.6
586,2026-06-10 13:23:53,50.5,0x0,2.5,43.6
596,2026-06-10 13:24:03,51.5,0x0,0.0,45.2
606,2026-06-10 13:24:13,50.5,0x0,0.0,44.5
616,2026-06-10 13:24:23,50.5,0x0,0.0,42.6
626,2026-06-10 13:24:33,50.5,0x0,2.4,43.6
636,2026-06-10 13:24:43,49.9,0x0,0.0,43.2
647,2026-06-10 13:24:54,49.4,0x0,0.0,45.9
657,2026-06-10 13:25:04,49.4,0x0,0.0,44.0
667,2026-06-10 13:25:14,49.4,0x0,2.5,42.7
677,2026-06-10 13:25:24,49.4,0x0,2.5,44.2
687,2026-06-10 13:25:34,50.5,0x0,2.5,42.6
697,2026-06-10 13:25:44,49.4,0x0,0.0,44.1
707,2026-06-10 13:25:54,49.9,0x0,0.0,44.8
717,2026-06-10 13:26:04,50.5,0x0,0.0,43.1
727,2026-06-10 13:26:14,49.4,0x0,2.4,43.4
738,2026-06-10 13:26:25,50.5,0x0,7.3,44.7
748,2026-06-10 13:26:35,49.4,0x0,0.0,44.1
758,2026-06-10 13:26:45,50.5,0x0,2.5,43.9
768,2026-06-10 13:26:55,50.5,0x0,2.6,44.9
778,2026-06-10 13:27:05,50.5,0x0,2.5,44.7
788,2026-06-10 13:27:15,50.5,0x0,0.0,43.7
798,2026-06-10 13:27:25,50.5,0x0,4.9,44.6
808,2026-06-10 13:27:35,51.0,0x0,0.0,45.0
818,2026-06-10 13:27:45,49.4,0x0,0.0,44.8
829,2026-06-10 13:27:56,50.5,0x0,0.0,44.7
839,2026-06-10 13:28:06,49.9,0x0,0.0,43.6
849,2026-06-10 13:28:16,50.5,0x0,2.4,42.8
859,2026-06-10 13:28:26,49.9,0x0,2.5,44.2
869,2026-06-10 13:28:36,50.5,0x0,0.0,43.5
879,2026-06-10 13:28:46,49.4,0x0,0.0,41.6
889,2026-06-10 13:28:56,51.5,0x0,2.5,44.5
899,2026-06-10 13:29:06,51.0,0x0,0.0,44.2
909,2026-06-10 13:29:16,50.5,0x0,2.4,42.8
920,2026-06-10 13:29:27,51.0,0x0,0.0,43.0
930,2026-06-10 13:29:37,51.0,0x0,0.0,44.1
940,2026-06-10 13:29:47,50.5,0x0,2.5,42.6
